"","language_name","right","genuine","real","CL","int_adj","int_npred","really_pred","int_pred","select","tag","affirm","conc_pred1","conc_pred2","conc_adj","conc_adv","subj"
"1","Albanian","0","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0"
"2","Armenian","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Azerbaijani","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1"
"4","Basque","0","1","1","1","1","1","1","1","1","1","0","1","0","0","0","1"
"5","Belarusian","0","1","1","0","0","0","1","0","1","1","1","1","0","1","1","1"
"6","British Sign Language","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0"
"7","Bulgarian","0","1","0","1","0","0","1","1","1","0","0","1","1","1","1","1"
"8","Czech","1","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1"
"9","Danish","1","1","1","1","0","0","1","1","1","1","0","0","0","0","0","0"
"10","Dutch","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Eastern Yiddish","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1"
"12","English","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1"
"13","European Portuguese","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","1"
"14","Finnish","0","0","1","1","1","1","1","1","1","0","0","1","0","0","0","0"
"15","French","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0"
"16","Georgian","0","0","0","0","0","1","1","1","0","0","1","0","1","0","0","1"
"17","German","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"18","German Sign Language","1","1","1","1","1","0","1","0","0","1","1","0","0","0","0","1"
"19","Hungarian","0","1","1","1","1","1","0","1","1","1","0","1","0","0","0","0"
"20","Irish Sign Language (female)","1","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0"
"21","Italian","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0"
"22","Japanese","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0"
"23","Kalhori Kurdish","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"24","Kazakh","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1"
"25","Khalkha Mongolian","0","0","0","0","1","1","1","1","0","0","0","1","0","0","1","1"
"26","Korean","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0"
"27","Latvian","0","0","0","1","0","1","0","0","1","0","0","1","0","1","1","1"
"28","Lebanese Arabic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"29","Lithuanian","0","0","0","0","1","1","1","1","0","0","1","1","1","1","1","1"
"30","Mandarin Chinese","0","0","1","1","1","0","1","1","1","0","0","0","1","0","0","0"
"31","Modern Greek","0","1","1","1","1","1","1","1","1","0","1","0","0","0","0","1"
"32","Modern Hebrew","0","1","1","1","0","1","1","1","1","0","0","1","1","0","0","1"
"33","Norwegian","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1"
"34","Pashto","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","1"
"35","Persian","0","1","1","1","0","0","1","1","1","0","0","0","0","0","0","0"
"36","Polish","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1"
"37","Romanian","0","0","1","1","0","1","0","0","1","0","0","1","0","0","0","0"
"38","Russian","0","0","0","0","0","0","1","1","0","1","0","0","1","1","1","1"
"39","Russian Sign Language","0","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0"
"40","Serbian","0","0","0","0","1","1","0","1","0","0","0","0","1","1","1","1"
"41","Spanish","1","1","1","1","1","1","1","1","1","1","0","1","0","0","0","1"
"42","Swedish","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1"
"43","Swedish Sign Language","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"44","Thai","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0"
"45","Tsugni Dargwa","1","0","1","1","0","0","1","1","0","1","1","0","0","0","0","0"
"46","Turkish","1","1","1","1","1","1","1","1","0","0","1","0","1","0","0","1"
"47","Ukrainian","0","0","0","0","0","0","1","0","0","1","1","1","0","1","1","1"
"48","Urdu","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1"
"49","Vietnamese","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1"
"50","West Circassian","0","1","1","1","0","1","1","0","1","0","1","1","0","1","0","1"
