"language_name","word","translation","truth_pred","truth_n","truth_adj","right","genuine","real","int_adj","int_npred","int_pred","CL","select","tag","affirm","conc_pred1","conc_pred2","conc_adj","conc_adv","subj"
"Albanian","vërtetë","true, real, truth","+","+","+","","+","+","+","+","+","+","+","+","","+","+","","",""
"Armenian","ճշմարտություն
čšmartutʻyun","truth","+","+","","","","","","","","","","","","","","","",""
"Armenian","ճշմարիտ
čšmarit","true, truly","","","+","","","","","","","","","","","","","","",""
"Azerbaijani","həqiqət","truth, reality","+","","+","","","+","","","","","","","","","","","",""
"Azerbaijani","gerçək","true, real","+","","+","","","+","","","","","","","","","","","",""
"Azerbaijani","doğru","true, correct","+","","+","","","","","","","","","","","","","","",""
"Azerbaijani","düz","straight, correct, honest","+","","","","","","","","","","","+","","","","","","+"
"Azerbaijani","düzünü","truth","","+","","","","","","","","","","","","","","","",""
"Azerbaijani","həqiqi","true","","","","","","","","","","","","","","","","","",""
"Azerbaijani","həqiqətən","really","","","","","","","","","+","","","","","","","","",""
"Basque","egia","truth, true","+","+","","","","","","","","","","+","","+","","","","+"
"Basque","benetako","real","","","+","","+","+","","","","+","","","","","","","",""
"Basque","benetan","really, in truth","","","","","","","+","+","+","","+","","","","","","",""
"Belarusian","праўда
praŭda","truth","+","+","","","","","","","","","","+","+","+","","+","+","+"
"Belarusian","праўдзівы
praŭdzivy","true","","","+","","","","","","","","","","","","","","",""
"Belarusian","сапраўдны
sapraŭdny","real, authentic","","","","","+","+","","","","","+","","","","","","",""
"Belarusian","сапраўды
sapraŭdy","really","","","","","","","","","","","","","","","","","",""
"British Sign Language","TRUE(um)","true","+","","","","+","","","","","","+","","","","","","",""
"British Sign Language","TRUE(truth)","truth","","+","","","","","","","","","","","","","","","",""
"British Sign Language","TRUE(real)","real","","","","","","+","","","","","","","","","","","",""
"Bulgarian","истина
istina","truth","+","+","","","","","","","","","","","","+","","","","+"
"Bulgarian","истински
istinskш","true, real","","","+","","+","","","","","+","+","","","","","","",""
"Bulgarian","наистина
naistina","really","","","","","","","","","+","","","","","","+","+","+",""
"Czech","pravda","truth","+","+","","","","","","","","","","","","","","+","+","+"
"Czech","opravdový","real, true","","","+","","","","","","","+","","","","","","","",""
"Czech","opravdu","really","","","","","","","","","","","","","","","","","+",""
"Danish","sand","true","+","","+","","","","","","","+","+","+","+","","","","",""
"Danish","sandhet","truth","","+","","","","","","","+","","","","","","","","",""
"Danish","rigtig","true, right, correct","","","+","+","+","+","","","","+","","","","","","","",""
"Danish","sandelig","truly, really","","","","","","","","","+","","","","","","","","",""
"Dutch","waarheid","truth","+","+","","","","","","","","","","","","","","","",""
"Dutch","waargebeurd","true","","","+","","","","","","","","","","","","","","",""
"Eastern Yiddish","אמת
emes","truth, true","+","+","","","","","","","","","","","+","","","","","+"
"Eastern Yiddish","אמתדיק
emesdik","true, truthful","","","+","","","","","","","+","","","","","","","",""
"English","truth","truth","","+","","","","","","","","","","","","","","","","+"
"English","true","true","+","","+","","","","","","","+","","","","","","","",""
"English","truly","truly","","","","","","","+","+","+","","","","","","","","",""
"European Portuguese","verdade","truth","+","+","","","","","","","","","","","","","","","","+"
"European Portuguese","verdadeira","true","","","+","","+","","","","","+","+","","","","","","",""
"European Portuguese","de verdade","truly, really","","","","","","","","","","+","","","","","","","",""
"European Portuguese","verdadeiramente","truly, really","","","","","","","","+","","","","","","","","","",""
"Finnish","totuus","truth","+","+","","","","","","","","","","","","","","","",""
"Finnish","totta","true, truly","+","+","","","","","","","","","","","","","","","",""
"Finnish","tosi","true,","","","+","","","","","","","","","","","","","","",""
"Finnish","todellinen","real","","","","","","+","","","","+","+","","","","","","",""
"Finnish","todella","very","","","","","","","+","+","+","","","","","","","","",""
"Finnish","tosiaan","really","","","","","","","","","","","","","","","","","",""
"Finnish","tosin","yet","","","","","","","","","","","","","","+","","","",""
"French","vérité","truth","+","+","","","","","","","","","","","","","","","",""
"French","vrai ","true","","","+","","+","+","","","","+","+","+","+","","","","",""
"French","vraiment","truly, really","","","","","","","+","+","+","","","","+","","","","",""
"Georgian","მართალი
martali","true","+","","+","","","","","","","","","","","","","","","+"
"Georgian","სიმართლე
simartle","truth","+","+","","","","","","","","","","","","","","","","+"
"Georgian","მართლა
martla","truly, really","","","","","","","","+","+","","","","","","","","",""
"Georgian","მართლაც
martlats","indeed","","","","","","","","","","","","","+","","+","","",""
"German","wahrheit","truth","+","+","","","","","","","","","","","","","","","","+"
"German","wahr","true","","","+","","","","","","","","","","","","","","",""
"German Sign Language","TRUE1","true, truth","+","+","+","","+","+","","","","","","","","","","","",""
"German Sign Language","TRUE3","true, right","","","+","+","+","","+","","","","","+","+","","","","","+"
"German Sign Language","TRUE3 WASH","real, ""waschechte""","","","","","","","","","","+","","","","","","","",""
"Hungarian","igaz","truth, true","+","+","+","","","","","","","","","+","","","","","",""
"Hungarian","igazság","truth","+","","","","","","","","","","","","","+","","","",""
"Hungarian","igazi","true, real","","","","","+","+","+","","","+","+","","","","","","",""
"Hungarian","igazán","really","","","","","","","","+","+","","","","","","","","",""
"Irish Sign Language (female)","TRUE","true","+","","","+","","","","","","","","","+","","","","",""
"Irish Sign Language (female)","TRUTH","truth","","+","","","","","","","","","","","","","","","",""
"Italian","verità","truth","+","+","","","","","","","","","","","","+","","","",""
"Italian","vero","true","","","+","","","","","","","+","+","+","","","","","",""
"Italian","davvero","truly","","","","","","","","","+","","","","","","","","",""
"Italian","veramente","truly","","","","","","","","","+","","","","","","","","",""
"Japanese","本当
hontoo","truth, true","+","+","+","","","+","+","+","+","+","+","","","","","","",""
"Japanese","本物
honmono","genuine, real","","","","","+","+","","","","+","","","","","","","",""
"Japanese","真
sin","true (formal)","","","","","","","","","","","+","","","","","","",""
"Kalhori Kurdish","دروسه","truth","+","","","","","","","","","","","","","","","","",""
"Kalhori Kurdish","راسی / راسه","right, true","","+","+","","","","","","","","","","","","","","","+"
"Kazakh","шындық
şyndyq","truth","+","+","","","","","","","","","","","","","","","",""
"Kazakh","шын
şyn","true, real","","","+","","+","+","","","","+","","","","","","","","+"
"Kazakh","шынымен
şynymen","truly","","","","","","","+","+","+","","","","","","","","",""
"Khalkha Mongolian","үнэн","true, truth","+","+","+","","","","","","","","","","","","","","","+"
"Khalkha Mongolian","үнэхээр","really, truly","","","","","","","+","+","","","","","","","","","",""
"Khalkha Mongolian","үнэндээ","really","","","","","","","","","+","","","","","+","","","+",""
"Korean","사실","TRUE","+","","","","","","","","","","","","","","","","",""
"Korean","진실","truth","","+","","","","","","","","","","","","","","","",""
"Korean","진품","authentic","","","","","+","","","","","","","","","","","","",""
"Korean","진짜로","really, actually","","","","","","","","","","","","","","","","","",""
"Korean","진짜","real","","","","","","","","","","","+","","","","","","",""
"Latvian","patiesība","truth","+","+","","","","","","","","","","","","","","","","+"
"Latvian","taisnība","truth","+","+","","","","","","","","","","","","","","","","+"
"Latvian","tiesa","truth","+","","","","","","","","","","","","","+","","+","+",""
"Latvian","patiess","true","","","+","","","","","+","","+","+","","","","","","",""
"Latvian","tiešām","really","","","","","","","+","+","+","","","","+","","","","",""
"Latvian","patiešām","really","","","","","","","","+","+","","","","+","","","","",""
"Latvian","patiesi","really, indeed","","","","","","","","+","","","","","","","","","",""
"Lebanese Arabic","ħaqiqa","truth","","+","","","","","","","","","","","","","","","",""
"Lebanese Arabic","ṣaħ","true","+","","+","","","","","","","","","","","","","","",""
"Lebanese Arabic","be-ṣaħ","actually","","","","","","","","","","","","","","","","","","+"
"Lithuanian","tiesa","truth, true","+","+","","","","","","","","","","+","","+","+","+","+","+"
"Lithuanian","teisybė","truth","+","+","","","","","","","","","","","","","","","",""
"Lithuanian","tikras","correct, true","","","+","","+","+","","","","+","+","","","","","","",""
"Lithuanian","teisingas","correct","","","","+","","","","","","","","","","","","","",""
"Lithuanian","iš tiesų","really","","","","","","","+","+","+","","","","+","","","","",""
"Mandarin Chinese","真相
zhen xiang","truth","+","","","","","","","","","","","","","","","","",""
"Mandarin Chinese","真
zhen","real, true, really, truly","","","","","","+","","","+","","","","","","+","","",""
"Mandarin Chinese","真话
zhen hua","truth","","+","","","","","","","","","","","","","","","",""
"Mandarin Chinese","真事
zhen shi","true event","","","+","","","","","","","","","","","","","","",""
"Mandarin Chinese","真正
zhen-zheng","real, true","","","","","","","","","","+","+","","","","","","",""
"Modern Greek","αλήθεια","truth","+","+","","","","","+","+","+","","","","+","","","","","+"
"Modern Greek","αληθινός","true","","","+","","+","+","","","","+","+","","","","","","",""
"Modern Greek","αληθινά","truly","","","","","","","+","+","","","","","","","","","",""
"Modern Hebrew","אמת
emet","truth","+","+","","","+","","","","","","","","","+","","","","+"
"Modern Hebrew","באמת
beemet","in truth, really","","","","","","","","+","+","","","","","","+","","",""
"Modern Hebrew","אמיתי
amiti","true, real","","","+","","","+","","","","+","+","","","","","","",""
"Norwegian","sann","true","+","","+","","","","","","","+","","","","","","","","+"
"Norwegian","sannhet","truth","+","+","","","","","","","","","","","","+","","","","+"
"Norwegian","ikke sant?","right?","","","","","","","","","","","","+","","","","","",""
"Pashto","حقیقت","truth","+","","","","","","","","","","","","","","","","",""
"Pashto","ریښتیا","true","+","+","","","","","","","","","","","","","","","","+"
"Pashto","ريښتونې","true","","","+","","+","","","","","","","","","","","","",""
"Pashto","په ریښتیا","really, in truth","","","","","","+","","","","+","","","","","","","",""
"Pashto","په حقیقت","really, in truth","","","","","","","","","","","","","","","","","",""
"Persian","واقعیت
vâqe'iyyat","truth, reality","+","+","","","","","","","","","","","","","","","",""
"Persian","واقعی
vâqe'i","true, real","","","+","","+","+","","","","+","+","","","","","","",""
"Persian"," واقعا
vâqe'an ","really","","","","","","","","","+","","","","","","","","",""
"Persian","حقيقت
haqiqat","truth","+","+","+","","","","","","","","","","","","","","",""
"Persian","حقيقتا
haquqatan","really, indeed","","","","","","","","","","","","","","","","","",""
"Polish","prawda","truth","+","+","","","","","","","","","","+","+","","+","","","+"
"Polish","prawdziwie","truly","","","","","","","+","","","","","","","","","","",""
"Polish","prawdziwy","true","","","+","","","+","","","","+","+","","","","","","",""
"Polish","co prawda","admittedly","","","","","","","","","","","","","","","+","+","+",""
"Polish","wprawdzie","admittedly","","","","","","","","","","","","","","","+","+","+",""
"Romanian","adevărul","truth","+","+","","","","","","","","","","","","+","","","",""
"Romanian","adevărat","true","","","+","","","+","","","","+","+","","","","","","",""
"Romanian","cu adevărat","truly","","","","","","","","+","","","","","","","","","",""
"Russian","правда","truth","+","+","","","","","","","+","","","+","","+","+","+","+","+"
"Russian Sign Language","REALLY","really, real","+","","+","","+","+","","","","+","+","","","","","","",""
"Russian Sign Language","RIGHT","right","","+","","","","","","","","","","+","","","","","",""
"Serbian","istina","truth","+","+","","","","","","","","","","","","","+","+","+","+"
"Serbian","instinski","true","","","+","","","","","","","","","","","","","","",""
"Serbian","zaista","truly","","","","","","","+","+","+","","","","","","","","",""
"Serbian","naistinu","truly","","","","","","","","","","","","","","","","","",""
"Spanish","verdad","truth","+","+","","","","","","","","","","+","","+","","","","+"
"Spanish","verdadero ","true","","","+","+","+","","","","","+","+","","","","","","",""
"Spanish","de verdad ","real, really","","","","","","+","+","+","+","","+","","","","","","",""
"Spanish","verdaderamente","truly","","","","","","","+","+","+","","","","","","","","",""
"Swedish","sann","true","+","","+","","","","","","","+","","","","","","","",""
"Swedish","sanning","truth","","+","","","","","","","","","","","","+","","","","+"
"Swedish Sign Language","SANT(sant)","sant","+","","+","","","","","","","","","+","+","","","","",""
"Swedish Sign Language","SANT(ärlig)","honest","","","","","","","","","","","","","","","","","","+"
"Thai","จริง","true, truth, truly","+","+","+","","+","+","","","","","","","","","","","",""
"Thai","แท้จริง","real","","","","","","","","","","+","+","","","","","","",""
"Thai","จริงๆ","truly","","","","","","","+","+","+","","","","","","","","",""
"Tsugni Dargwa","mar","true, truth","+","+","","","","","","","","","","","","","","","",""
"Tsugni Dargwa","marce","true","","","+","+","","+","","","","+","","","","","","","",""
"Tsugni Dargwa","marlera","actually","","","","","","","","","+","","","+","+","","","","",""
"Turkish","gerçeklik","truth, reality","","+","","","","","","","","","","","","","","","",""
"Turkish","gerçekten","really","","","","","","","+","+","+","","","","+","","","","",""
"Turkish","gerçek","true, real","","","","","+","+","","","","+","","","","","","","",""
"Turkish","doğru","true, correct","+","+","+","+","","","","","","","","","","","+","","","+"
"Turkish","hakikat","truth","","+","","","","","","","","","","","","","","","",""
"Turkish","hakikaten","truly","","","","","","","+","+","","","","","","","","","",""
"Turkish","hakiki","true","","","","","","","","","","+","","","","","","","",""
"Ukrainian","правда
pravda","truth","+","+","","","","","","","","","","+","+","","","","","+"
"Ukrainian","правдивий
pravdyvyj","true","","","+","","","","","","","","","","","","","","",""
"Ukrainian","щоправда
ščopravda","admittedly","","","","","","","","","","","","","","+","","+","+",""
"Ukrainian","насправді
naspravdi","in reality, really","","","","","","","","","","","","","","","","","",""
"Urdu","حقیقت","truth","+","","","","","","","","","","","","","","","","",""
"Urdu","سچ","truth","+","+","","","","","","","","","","","","","","","","+"
"Urdu","سچی","true","","","+","","","","","","","","","","","","","","",""
"Urdu","سچ میں","in truth, really","","","","","","+","","","","+","","","","","","","",""
"Urdu","حقیقت میں","in truth, really","","","","","","","","","","+","","","","","","","",""
"Vietnamese","thật","true","+","+","+","","+","+","","","","","","","","","+","","",""
"Vietnamese","thật sự","truly, really","","","","","","","","","","","","","","","","","",""
"Vietnamese","thật sự mà nói","honestly, frankly, to tell the truth","","","","","","","","","","","","","","","","","","+"
"West Circassian","шъыпкъэ","truth, true","+","+","+","","+","","","+","","+","+","","+","+","","+","","+"
"West Circassian","шъыпкъэу","truly","","","","","","+","","","","","","","","","","","","+"
